"asv_id","count","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV9709",2,92.453,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA
"ASV9601",2,91.045,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV9741",2,96.875,"Metazoa","Arthropoda","Arachnida","Araneae","Agelenidae","Aeolocoelotes",NA
"ASV9800",2,87.075,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9830",2,100,"Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"ASV9820",2,100,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Carabodidae",NA,"Carabodidae sp. BIOUG24219-G04"
"ASV9883",2,91.176,"Metazoa","Arthropoda","Diplopoda","Glomerida",NA,NA,NA
"ASV9903",2,89.423,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9777",2,94.444,"Metazoa","Arthropoda","Malacostraca","Amphipoda","Uristidae",NA,NA
"ASV9821",2,93.478,"Metazoa","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA
"ASV9940",2,88.732,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9873",2,100,"Metazoa","Arthropoda","Insecta","Hymenoptera","Dryinidae","Aphelopus","Aphelopus atratus"
"ASV9845",2,91.489,"Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"ASV9938",2,100,"Metazoa","Arthropoda","Protura",NA,NA,NA,"Protura sp."
